rw_ratio,pause,bandwidth,latency
78,50000,0.7843404255319149,92.7083359
80,45,13.543695935519633,151.552933
54,40,14.216559461209375,102.541969
20,35,14.175067981522131,155.908386
62,5000,2.6006632920230404,97.5979385
46,10,15.43395735573093,24.8353577
78,35,13.664772731690817,125.858612
22,50,12.834420541290768,189.975845
94,32,12.878786542640668,228.01268
50,37,14.597964560624062,63.0134544
52,20,15.452036238548882,22.2616901
42,37,14.834730013429521,58.7210312
52,27,14.595872986131077,40.1728745
82,40,11.03133967095801,191.186172
20,20000,0.7725062866722547,94.3333359
34,5000,4.582409918636187,119.39286
80,200,9.54204171240395,142.226944
96,40,12.655197503350776,226.780884
2,32,12.818959358093924,214.095139
38,37,14.745426044743436,94.1635132
54,30,14.2408724310124,70.3052673
90,27,14.436758269907548,140.519882
86,5000,2.6258632362897765,99.0891113
100,15,13.827309164616796,214.678772
48,32,14.459666597344599,48.1017075
86,32,14.267087069346235,165.915237
6,5000,3.047854657904909,104.538963
20,37,14.475815655083718,120.913536
54,5,14.673353459686203,24.2843399
100,20,12.914696199051923,234.382111
34,25,14.662273220830464,64.1202316
36,50000,0.7843404255319149,92.7083359
64,22,14.419427392339419,76.3832016
52,75,10.78008920606601,172.249603
50,45,13.009118646268366,223.636414
18,45,13.25625543878439,156.207977
98,1000,6.032090966519267,111.120644
42,35,14.625241182653582,55.438446
80,25,15.13011615927915,77.1926804
18,15,15.26904482650113,82.9416199
74,40,14.361523385245238,126.819061
94,37,13.140401915702714,175.964951
70,20000,0.9791235059760955,103.34375
76,42,14.273734695368537,144.997726
88,35,13.7122275423426,166.931458
56,400,8.804431882419447,141.213013
40,20,15.245007709967817,52.361927
60,45,13.907218185289592,118.803482
10,0,13.057293148902561,12.4566975
84,50000,0.99821283509342,96.34375
72,10,14.350522621213916,56.7814064
72,5,14.693299072574938,46.2888374
100,5000,2.677860528097495,96.9805832
100,25,13.169812587549172,224.697083
6,50,12.19047619047619,197.573685
60,10,15.41610665151538,25.2569389
96,42,13.20838127246774,224.510788
88,20,14.103241304938672,161.760666
76,10,15.0512545897825,29.9037991
64,5,14.295440928003131,47.4638939
12,1000,8.481694402420574,139.310501
58,75,11.559360640929977,184.047623
12,2,14.319646355659051,64.9679108
46,32,14.87620175285855,46.3001022
94,15,14.642381529918165,181.377258
98,50,11.931900182055571,198.006516
72,50000,0.7843404255319149,92.7083359
16,1000,6.623232,125.6679
24,27,14.587706508671308,65.7979355
90,400,9.961119470358108,144.857895
92,0,14.066139970706166,94.5631943
30,5000,2.178151260504202,97.7283936
84,15,13.75026055041402,188.096771
76,37,14.78897473246228,71.098175
62,10,14.714123825145577,36.6431198
0,75,11.320586327668957,174.166473
18,0,13.29300685794216,9.52577686
10,42,13.300172902690367,211.99501
16,5000,2.7353424657534244,99.4519196
48,20000,0.9570996978851964,94.515152
54,20,14.974852640791154,46.105793
40,50000,0.99821283509342,96.34375
26,22,14.867698103917927,54.7401352
42,50,12.845601333103488,171.210083
4,5000,5.113520879976638,118.605263
90,22,14.124354132760283,143.416168
90,42,12.996422816289646,150.751175
66,45,13.399511241742008,180.626724
78,15,14.456675074086448,79.8731079
48,20,15.285758191650404,22.2049656
10,20000,1.158759430008382,83.7222214
64,20000,1.177914110429448,110.175003
90,35,13.064822836234496,201.30661
64,50000,1.2173568456508816,99.9499969
50,5,15.068932768680494,24.3310986
38,25,14.996953674634915,39.7219315
42,5,14.881436624868753,26.9684658
58,50000,0.99821283509342,96.34375
76,20000,0.7725062866722547,94.3333359
80,20000,0.7725062866722547,94.3333359
2,10,12.316706604195138,234.851761
24,30,14.731192781236334,59.5795097
62,32,13.976644751164713,88.2902908
74,5,15.045475210368277,37.7791824
