type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_percentage_actual_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR4-3200,2,900,38.28707233777295,0.01189785626483836,38.2786592829265,38.2954853926194,0.5050505050505051,115.7431247464758,0.010811817620418175,115.73547963691945,115.75076985603215,36.28131775294315,116.25829977532601
DDR4-3200,2,1000,34.71101739199757,0.007052552078217142,34.706030484598394,34.71600429939675,0.5050505050505051,115.20126892098583,0.026596193083323512,115.18246257250287,115.2200752694688,31.48615709018001,114.43354209051795
DDR4-3200,2,1500,23.66856529177079,0.0035032630100185003,23.666088110740127,23.671042472801457,0.5050505050505051,113.65713684391635,0.00032054574572329923,113.65691018384587,113.65736350398683,24.82180759645706,113.61570911476372
DDR4-3200,2,2000,17.97465169359768,0.0002245067204262369,17.974492943373246,17.974810443822115,0.5050505050505051,113.02894927148566,0.010942680838568433,113.02121162766035,113.03668691531098,18.388670167862372,113.2496706707838
DDR4-3200,2,3000,12.158522665751654,0.0012421821089020197,12.157644310358982,12.159401021144328,0.5050505050505051,112.21686478891681,0.010611543274858321,112.2093612947083,112.22436828312532,12.278400157145214,113.22824706704579
DDR4-3200,2,5000,7.3876667406294905,0.004321936908570216,7.38461066973358,7.390722811525401,0.5050505050505051,112.28969726269946,0.005267134736573493,112.28597283600982,112.29342168938912,6.6951014191487985,113.49912691080304
DDR4-3200,2,40000,1.0287396635194668,0.00021037676262290964,1.028590904684012,1.0288884223549215,0.5050505050505051,114.915870322735,0.02135045623618902,114.90077327034896,114.93096737512103,2.340910405854899,113.97686856255075
DDR4-3200,2,100000,0.472375472216803,0.00034173104410775885,0.4721338318781724,0.47261711255543354,0.5050505050505051,115.57723264364418,0.0004257570901139564,115.57693158791862,115.57753369936974,-0.3494127603949906,114.6056403917164
DDR4-3200,2,500000,0.18640294113106728,0.0013304907152323327,0.18546214212402076,0.1873437401381138,0.5050505050505051,115.49343699309387,0.0040027711037266414,115.4906066065029,115.49626737968485,-0.941107957259355,115.32961076772779
DDR4-3200,2,1000000,0.14219062274279787,0.00019682019919665519,0.14205144984527143,0.14232979564032433,0.5050505050505051,115.54215216952537,0.00800449839564741,115.5364921344298,115.54781220462093,1.0005849376033353,116.0929480600126
DDR4-3200,4,0,138.87689865673184,0.07847279277440367,138.8214100128224,138.93238730064127,0.5102040816326531,533.3914645198072,1.5012149836768627,532.3299452248303,534.4529838147839,138.9184562110297,533.9541719781452
DDR4-3200,4,5,139.07368587944447,0.0057524504756719325,139.06961828270468,139.07775347618426,0.5102040816326531,535.2008072615307,0.8787867755495449,534.5794111733226,535.8222033497389,139.02013985512562,533.6506520575501
DDR4-3200,4,10,139.08669578654212,0.014267976656672081,139.0766068034944,139.09678476958987,0.5102040816326531,532.884054801065,0.24241198583052137,532.7126436420433,533.0554659600866,139.05806599103863,533.6255082912518
DDR4-3200,4,15,139.0862371361089,0.05990364445787218,139.04387886289496,139.12859540932286,0.5102040816326531,533.1197257322224,0.787170838569415,532.5631118943177,533.6763395701272,139.04846228605635,533.835579497343
DDR4-3200,4,30,138.8476612046028,0.060550504472468694,138.80484553228604,138.89047687691954,0.5102040816326531,534.9923851312819,0.037878568776303766,534.9656009384386,535.0191693241253,139.00755640746647,534.2377044939169
DDR4-3200,4,35,139.00660047187824,0.036414726163437244,138.98085137207303,139.03234957168348,0.5102040816326531,532.8212672839363,0.4126882423566753,532.5294526292499,533.1130819386226,138.95157602255705,534.7887220990676
DDR4-3200,4,50,138.96370066479105,0.010140494707507282,138.95653025221878,138.9708710773633,0.5102040816326531,537.1610804230372,0.1198090969483646,537.0763625981373,537.2457982479373,138.91056296729593,536.3483153593436
DDR4-3200,4,55,138.80280667521606,0.00976786197752555,138.79589975377405,138.80971359665804,0.5102040816326531,537.7714237387438,0.5680115220157145,537.3697789397344,538.1730685377531,138.88506841218765,554.0154452873447
DDR4-3200,4,70,138.8189509813305,0.06489038020498987,138.77306655345376,138.8648354092072,0.5102040816326531,535.4541766656528,1.1154454322566183,534.6654376364605,536.2429156948449,138.83818834744477,559.9616201365966
DDR4-3200,4,90,139.00061750709892,0.03266418525263835,138.97752044020487,139.023714573993,0.5102040816326531,536.7623142436839,0.3170757170589453,536.538107854002,536.9865206333659,138.68098374194534,539.0894593745152
DDR4-3200,4,100,138.96690513760478,0.024935963060815525,138.94927274902906,138.9845375261805,0.5102040816326531,538.9324717555487,1.6032667454323906,537.7987909678026,540.0661525432948,139.58177167765277,492.48189021474354
DDR4-3200,4,120,138.93821134278792,0.01878078271985192,138.92493132397072,138.95149136160512,0.5102040816326531,526.6232531922321,3.6348756098979154,524.0530079997037,529.1934983847605,142.82502938355748,426.143583562686
DDR4-3200,4,140,139.08155919836597,0.06488467145292355,139.03567880718654,139.1274395895454,0.5102040816326531,324.9037207176643,1.8981965532389489,323.56149306284414,326.2459483724845,142.5078812331236,347.6755468107883
DDR4-3200,4,160,139.71759540379497,0.005789887740471111,139.7135013349114,139.72168947267858,0.5102040816326531,197.37470840894446,3.307957375898037,195.0356293165709,199.713787501318,138.4369114349244,266.4222556100238
DDR4-3200,4,180,142.1957912101248,0.021329579786192304,142.18070891961813,142.21087350063146,0.5102040816326531,151.0296732872293,0.23557517085234744,150.8630964864404,151.19625008801816,132.0712874885737,190.89947981680388
DDR4-3200,4,200,133.07130096351597,0.038216023514981316,133.04427815413854,133.0983237728934,0.5102040816326531,131.608962329282,0.031229952561082654,131.58687941804993,131.63104524051408,121.30995871626888,132.7875982678794
DDR4-3200,4,300,96.94481389654081,0.038355667493163596,96.91769234395944,96.97193544912216,0.5102040816326531,115.65224705021558,0.023199498934197114,115.63584252719907,115.66865157323207,107.72134959395456,102.15161998821921
DDR4-3200,4,340,87.38413307364154,0.026795028870103963,87.3651861270254,87.40308002025768,0.5102040816326531,113.7600297931485,0.019697513409686087,113.74610154784399,113.773958038453,92.4308514941614,105.8373948804992
DDR4-3200,4,380,79.4855812834632,0.0003183501373522253,79.48535617592229,79.48580639100412,0.5102040816326531,112.43632563647913,0.03422080327774983,112.41212787442377,112.46052339853446,76.92351669668155,111.52190517004468
DDR4-3200,4,550,58.810095148965274,0.00011052389506283308,58.81001699676959,58.81017330116095,0.5102040816326531,119.29151428505077,0.0061878349568162535,119.28713882499194,119.2958897451096,63.07848911285443,113.82681674517467
DDR4-3200,4,600,54.2523318069223,0.005269991819644509,54.24860535996983,54.25605825387476,0.5102040816326531,118.65339439871804,0.004936508459510033,118.64990376011093,118.65688503732514,53.984984798257855,115.57634486719134
DDR4-3200,4,700,47.31523381092264,0.00512719367285175,47.31160833750811,47.31885928433717,0.5102040816326531,117.41791656128194,0.020450309685189783,117.40345600862618,117.4323771139377,48.45039638840929,117.15672986090092
DDR4-3200,4,800,41.78885622171789,0.003657680789533543,41.7862698508282,41.79144259260759,0.5102040816326531,116.51744158347985,0.00355637979264712,116.514926843212,116.5199563237477,41.574410533103546,117.1337916706284
DDR4-3200,4,900,37.4995060559751,0.007444628789515938,37.49424190847461,37.50477020347558,0.5102040816326531,115.749217459498,0.0037322902655285077,115.74657833174189,115.75185658725411,35.52021210959581,116.38024915610997
