type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,latency_mean,latency_std,latency_min,latency_max
DDR4-2600,8,1500,69.11824779603592,0.04819364146478418,69.07725949469692,69.17133943806047,415.7018598075,1.5796076310082976,414.58490854,416.818811075
DDR4-2600,8,2000,54.471422993583815,0.020863850650135164,54.447873065055035,54.487596925189315,350.6611405425,0.3518130346346611,350.41237116,350.909909925
DDR4-2600,8,3000,37.969834311826844,0.021099300241312346,37.946032759830445,37.98624009199764,305.75717005,0.08800989702793273,305.694937655,305.819402445
DDR4-2600,8,5000,23.418596902885053,0.03415621236563402,23.379461705763724,23.44240408902855,284.2526776575,0.13461191439892728,284.15749266,284.347862655
DDR4-2600,8,40000,3.140851152369994,0.03962293630339347,3.09550945624461,3.1688205875705724,265.1987083925,0.18011032546780803,265.07135116,265.326065625
DDR4-2600,8,100000,1.348806839793956,0.034641349501413836,1.3091830153992097,1.3733608507387,263.11777687250003,0.025616855872337058,263.09966302,263.135890725
DDR4-2600,8,500000,0.3408553615369569,0.010112163224263655,0.32934040848860224,0.34828921430016635,260.95077325750003,0.20698427224021135,260.804413275,261.09713324
DDR4-2600,8,1000000,0.1826438005470775,0.007939610256118976,0.17350573837676575,0.18785257833813174,252.31118821500002,0.05923096216066905,252.2693056,252.35307083
DDR4-2600,12,0,119.97165990894563,0.04000742800290647,119.92581388135147,119.99950233437269,1722.18497314,0.4318555741858026,1721.879605135,1722.490341145
DDR4-2600,12,5,119.81787963211353,0.03888775011524543,119.79296237885083,119.86268953347104,1706.5729422025001,2.5954752327794717,1704.737664065,1708.40822034
DDR4-2600,12,10,119.27228695446182,0.13069235869099474,119.18972965097238,119.42296721200202,1668.5114083925,0.40708347757169816,1668.223556905,1668.79925988
DDR4-2600,12,15,119.22899396633493,0.027903761436726838,119.20441288234227,119.25932467558734,1662.52953746,0.34470800094857357,1662.285792095,1662.773282825
DDR4-2600,12,20,119.07532934693752,0.12602469444652026,118.95665504352125,119.20760161290372,1346.534186855,2.201432897288696,1344.977538725,1348.090834985
DDR4-2600,12,25,122.5092274775903,0.24280118814861615,122.26152560678756,122.74681167271368,1294.9172756050002,0.1532506375035635,1294.80891104,1295.02564017
DDR4-2600,12,30,118.14004241388648,0.23607548007906423,117.87141326873544,118.31448701357552,1342.5660150375002,1.5338673964913725,1341.481407,1343.650623075
DDR4-2600,12,35,122.23342767765654,0.10525302448405749,122.11495306957084,122.31613889471465,1290.8372050799999,5.1955399845483825,1287.163403525,1294.511006635
DDR4-2600,12,40,122.38437450211408,0.12005777491975651,122.24679545951139,122.46792459915216,1285.0393559650001,3.9318227656291556,1282.259137425,1287.819574505
